ALDH7A1	OMIM:266100
ALDOA	OMIM:611881
ALDOB	OMIM:229600
ALG10B	OMIM:613688
ALG11	OMIM:613661
ALG12	OMIM:607143
ALG13	OMIM:300884
ALG14	OMIM:616227
ALG14	OMIM:619031
ALG14	OMIM:619036
ALG1	OMIM:608540
ALG2	OMIM:607906
ALG2	OMIM:616228
ALG3	OMIM:601110
ALG6	OMIM:603147
ALG8	OMIM:608104
ALG8	OMIM:617874
ALG9	OMIM:263210
ALG9	OMIM:608776
ALKBH8	OMIM:618504
ALMS1	OMIM:203800
ALOX12B	OMIM:242100
ALOX5AP	OMIM:601367
ALOX5	OMIM:600807
ALOXE3	OMIM:242100
ALOXE3	OMIM:606545
ALPK1	OMIM:614979
ALPK3	OMIM:618052
ALPL	OMIM:146300
ALPL	OMIM:241500
ALPL	OMIM:241510
ALS2	OMIM:205100
ALS2	OMIM:606353
ALS2	OMIM:607225
ALX1	OMIM:613456
ALX3	OMIM:136760
ALX4	OMIM:609597
ALX4	OMIM:613451
ALX4	OMIM:615529
AMACR	OMIM:214950
AMACR	OMIM:614307
AMBN	OMIM:616270
AMELX	OMIM:301200
AMER1	OMIM:300373
AMH	OMIM:261550
AMHR2	OMIM:261550
AMMECR1	OMIM:300990
AMN	OMIM:618882
AMPD1	OMIM:615511
AMPD2	OMIM:615686
AMPD2	OMIM:615809
AMTN	OMIM:617607
AMT	OMIM:605899
ANAPC1	OMIM:618625
ANAPC7	OMIM:619699
ANG	OMIM:611895
ANGPT1	OMIM:619361
ANGPT2	OMIM:619369
ANGPTL3	OMIM:605019
ANGPTL4	OMIM:615881
ANK1	OMIM:182900
ANK2	OMIM:600919
ANK3	OMIM:615493
ANKH	OMIM:118600
ANKH	OMIM:123000
ANKLE2	OMIM:616681
ANKRD11	OMIM:148050
ANKRD17	OMIM:619504
ANKRD26	OMIM:188000
ANKS6	OMIM:615382
ANLN	OMIM:616032
ANO10	OMIM:613728
ANO3	OMIM:615034
ANO5	OMIM:166260
ANO5	OMIM:611307
ANO5	OMIM:613319
ANO6	OMIM:262890
ANOS1	OMIM:308700
ANTXR1	OMIM:230740
ANTXR1	OMIM:602089
ANTXR2	OMIM:228600
ANXA11	OMIM:617839
ANXA11	OMIM:619733
ANXA5	OMIM:614391
AOPEP	OMIM:619565
AP1B1	OMIM:242150
AP1G1	OMIM:619467
AP1G1	OMIM:619548
AP1S1	OMIM:609313
AP1S2	OMIM:304340
AP1S3	OMIM:616106
AP2M1	OMIM:618587
AP2S1	OMIM:600740
AP3B1	OMIM:608233
AP3B2	OMIM:617276
AP3D1	OMIM:617050
AP4B1	OMIM:614066
AP4E1	OMIM:184450
AP4E1	OMIM:613744
AP4M1	OMIM:612936
AP4S1	OMIM:614067
AP5Z1	OMIM:613647
APC2	OMIM:617169
APC2	OMIM:618677
APCDD1	OMIM:605389
APC	OMIM:114500
APC	OMIM:114550
APC	OMIM:135290
APC	OMIM:175100
APC	OMIM:613659
APC	OMIM:619182
APOA1	OMIM:105200
APOA2	OMIM:143890
APOA5	OMIM:144650
APOA5	OMIM:145750
APOB	OMIM:144010
APOB	OMIM:615558
APOC2	OMIM:207750
APOC3	OMIM:614028
APOE	OMIM:104310
APOE	OMIM:269600
APOE	OMIM:603075
APOE	OMIM:606889
APOE	OMIM:607822
APOE	OMIM:611771
APOL1	OMIM:612551
APOL2	OMIM:181500
APOL4	OMIM:181500
APPL1	OMIM:616511
APP	OMIM:104300
APP	OMIM:605714
APRT	OMIM:614723
APTX	OMIM:208920
AQP2	OMIM:125800
AQP5	OMIM:600231
ARCN1	OMIM:617164
ARF1	OMIM:618185
ARFGEF2	OMIM:608097
ARG1	OMIM:207800
ARHGAP26	OMIM:607785
ARHGAP31	OMIM:100300
ARHGDIA	OMIM:615244
ARHGEF10	OMIM:608236
ARHGEF18	OMIM:617433
ARHGEF1	OMIM:618459
ARHGEF2	OMIM:617523
ARHGEF9	OMIM:300607
ARID1A	OMIM:614607
ARID1B	OMIM:135900
ARID2	OMIM:617808
ARL13B	OMIM:612291
ARL2BP	OMIM:615434
ARL2	OMIM:619082
ARL3	OMIM:618161
ARL3	OMIM:618173
ARL6IP1	OMIM:615685
ARL6	OMIM:209900
ARL6	OMIM:268000
ARL6	OMIM:600151
ARL6	OMIM:613575
ARMC2	OMIM:618433
ARMC5	OMIM:615954
ARMC9	OMIM:617622
ARNT2	OMIM:615926
AR	OMIM:176807
AR	OMIM:300068
AR	OMIM:300633
AR	OMIM:312300
AR	OMIM:313200
ARPC1B	OMIM:617718
ARR3	OMIM:301010
ARSA	OMIM:250100
ARSB	OMIM:253200
ARSG	OMIM:618144
ARSK	OMIM:619698
ARSL	OMIM:302950
ARV1	OMIM:617020
ARX	OMIM:300004
ARX	OMIM:300215
ARX	OMIM:300419
ARX	OMIM:308350
ARX	OMIM:309510
ASAH1	OMIM:159950
ASAH1	OMIM:228000
ASB10	OMIM:603383
ASCC1	OMIM:614266
ASCC1	OMIM:616867
ASH1L	OMIM:617796
ASL	OMIM:207900
ASNS	OMIM:615574
ASPA	OMIM:271900
ASPH	OMIM:601552
ASPM	OMIM:608716
ASPN	OMIM:607850
ASPRV1	OMIM:146750
ASPSCR1	OMIM:606243
ASS1	OMIM:215700
ASTL	OMIM:619643
ASXL1	OMIM:605039
ASXL1	OMIM:614286
ASXL2	OMIM:617190
ASXL3	OMIM:615485
ATAD1	OMIM:618011
ATAD3A	OMIM:617183
ATAD3A	OMIM:618810
ATCAY	OMIM:601238
ATF6	OMIM:616517
ATG5	OMIM:617584
