multiplex	node	score
2	GO:0008150	0.0009090397731419317
2	GO:0009987	0.0007306335248062511
2	GO:0008152	0.000543659348495499
2	GO:0065007	0.0005332642643481495
2	GO:0032501	0.00048807066686295684
2	GO:0050789	0.00047465277162711474
2	GO:0071704	0.00047393491688352653
2	GO:0044237	0.00044857449008469676
2	GO:0050794	0.00044732317407107365
2	GO:0044238	0.0004462770021578868
2	GO:0050896	0.00043456253710823125
2	GO:0032502	0.0004328193356868319
2	GO:0048856	0.0004091088709285738
2	GO:0006807	0.00038669191736675156
2	GO:0007275	0.00037419602867019104
2	GO:0051716	0.00036631542427227685
2	GO:0043170	0.00036570302686378
2	GO:0048731	0.00033111973580712123
2	GO:0007154	0.00032320924151245823
2	GO:0023052	0.00032255420959026454
2	GO:0044260	0.0003057345010788291
2	GO:0007165	0.00029519695925606484
2	GO:1901564	0.0002924567002798815
2	GO:0071840	0.00028031614807516234
2	GO:0016043	0.00027871736553711495
2	GO:0048518	0.00027699531170703685
2	GO:0048513	0.00027673105795077797
2	GO:0048869	0.0002710777545252845
2	GO:0030154	0.0002694612027749769
2	GO:0051179	0.00025746206000350186
2	GO:0042221	0.00025460124548267084
2	GO:0019538	0.00024628487744490795
2	GO:0019222	0.000239977124580462
2	GO:0048522	0.00023557242390015296
2	GO:0009058	0.0002340986831888409
2	GO:0065008	0.00022175812904376186
2	GO:1901576	0.0002204496112059743
2	GO:0060255	0.00021861841964846717
2	GO:0048519	0.0002168766076215593
2	GO:0044249	0.00021387940803671145
2	GO:0009888	0.0002115668644588657
2	GO:0031323	0.00020933193305647864
2	GO:1901360	0.00020924163069501253
2	GO:0080090	0.00020803934490880026
2	GO:0044267	0.00020694208720620222
2	GO:0070887	0.00020266112777734464
2	GO:0010033	0.00020101281811669107
2	GO:0010467	0.00019862799003281993
2	GO:0051171	0.00019569080421898624
2	GO:0034641	0.00019278345339189372
2	GO:0048523	0.00019210064815342723
2	GO:0051234	0.0001899993025883623
2	GO:0006810	0.00018836965112778117
2	GO:0006950	0.00018677581641165624
2	GO:0008219	0.00018492124275553337
2	GO:0006725	0.00018442252783514078
2	GO:0046483	0.0001731034748669733
2	GO:0048583	0.0001702275287110067
2	GO:0012501	0.00016978504354438152
2	GO:0007166	0.00016917616787718957
2	GO:0010468	0.0001672940979518084
2	GO:0009605	0.00016598863720614497
2	GO:0071310	0.00016545782973004795
2	GO:0009059	0.00016188512257013667
2	GO:0009893	0.00016132209748595492
2	GO:0006139	0.00016083557628002545
2	GO:0050790	0.0001602087323626363
2	GO:0002376	0.00015908598336823566
2	GO:0009653	0.000157517873340343
2	GO:0043412	0.00015530925360994396
2	GO:0034645	0.00015477064695822707
2	GO:1901362	0.00015396381888907983
2	GO:0044271	0.0001514698645612161
2	GO:0090304	0.00014952550679035712
2	GO:0010604	0.00014801462646661981
2	GO:0009889	0.00014730164973076584
2	GO:0006464	0.00014704645802875456
2	GO:0036211	0.00014704645802875456
2	GO:0051239	0.0001433699477131058
2	GO:0019438	0.00014286711351094248
2	GO:0016070	0.0001402321185474389
2	GO:0031325	0.00014022380608226783
2	GO:0018130	0.00014022009568880406
2	GO:0023051	0.0001398087638931035
2	GO:0031326	0.00013899419244761454
2	GO:0008283	0.00013742521407409666
2	GO:0010646	0.0001363876876763106
2	GO:0034654	0.00013565834968463588
