GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
ARID4A	7	False	False
CCNE1	7	True	False
CCNE2	7	True	False
HIST1H1A	7	False	False
HIST1H1D	7	False	False
CDK2	7	True	False
CDKN1C	7	True	False
SKP2	7	False	False
CDKN3	7	False	False
MCM2	7	True	False
CCNB2	7	False	False
CDK2AP1	7	False	False
MCM10	7	True	False
CDKN2A	7	False	False
CCNB1IP1	7	False	False
CCNB1	7	True	False
RBL2	7	False	False
UHRF2	7	False	False
PRC1	7	False	False
TFDP1	7	False	False
GMNN	7	False	False
C12orf65	7	False	False
B3GALNT1	7	False	False
CDC6	7	True	False
MYBL2	7	True	False
CCNF	7	False	False
POLA1	7	False	False
CKS1B	7	False	False
NPAT	7	False	False
IL15RA	7	False	False
CDKN1B	7	True	False
SPDYA	7	False	False
CCND1	7	True	False
FBXO31	7	False	False
CAMK1	7	True	False
CDK4	7	False	False
PHLDA3	7	False	False
HERC5	7	False	False
FOXM1	7	False	False
TSPYL2	7	False	False
CAMK1G	7	False	False
CDC45	7	True	False
KAT7	7	False	False
MARCKS	7	False	False
CCNB3	7	False	False
PROCA1	7	False	False
CKS2	7	False	False
RBL1	7	False	False
USP37	7	False	False
GNL3	7	True	False
H1F0	7	False	False
KIF26B	7	False	False
CCNA2	7	False	False
FEN1	7	True	False
CCP110	7	False	False
HIST1H1B	7	False	False
MCM3	7	False	False
ORC3	7	False	False
NTF3	8	False	True
NTRK2	8	True	True
SOCS5	8	True	True
TMBIM1	8	False	True
IL10RA	8	True	True
IL10	8	True	True
BDNF	8	False	True
MT-ND4L	8	False	True
STAT1	8	True	True
IFNG	8	True	True
IFNGR2	8	False	True
CNOT9	8	False	True
GRB10	8	True	True
IL15	8	True	True
IL2RB	8	False	True
OSM	8	False	True
LIFR	8	True	True
IL13	8	False	True
IL13RA1	8	True	True
LIF	8	False	True
DDR1	8	True	True
SHC1	8	False	True
IL4	8	True	True
GIGYF2	8	False	True
GIGYF1	8	False	True
PRMT3	8	False	True
WSB1	8	False	True
CSF3R	8	True	True
TMEM39B	8	False	True
IL4R	8	False	True
CISH	8	False	True
RET	8	True	True
FAU	8	False	True
IL2RG	8	False	True
IL27RA	8	False	True
WSB2	8	False	True
IFNGR1	8	False	True
JAK1	8	False	True
FRS2	8	False	True
CNTF	8	False	True
IRS1	8	False	True
STAT5B	8	False	True
PTPN11	8	False	True
JAK2	8	False	True
IL6ST	8	False	True
TRADD	9	False	False
TNF	9	True	False
IL18	9	False	False
CASP1	9	True	False
TNFRSF10D	9	False	False
TNFSF10	9	True	False
ABHD17A	9	False	False
BIRC2	9	True	False
PLA2G4B	9	False	False
CASP3	9	True	False
BIRC7	9	False	False
IL37	9	False	False
HTRA2	9	False	False
ALDH1A2	9	True	False
IKBKE	9	False	False
BIRC3	9	True	False
TNFRSF4	9	False	False
TRAF5	9	True	False
TNFRSF10A	9	False	False
ATG4D	9	False	False
ZFAND6	9	False	False
