WP5087	2.778369668213874e-25
WP4541	4.368084017694385e-07
WP4577	2.839118197421641e-06
WP5053	1.2298630252448874e-05
WP4540	1.5548940060147158e-05
WP3998	2.402556443667945e-05
WP4549	2.5679624536520365e-05
WP2447	5.554944515033575e-05
WP4298	5.554944515033575e-05
WP5124	9.500024183521966e-05
WP2059	0.00012289615802845824
WP4879	0.0005702639769138966
WP4844	0.0011471068633029078
WP4906	0.005839842710083794
WP4949	0.0071037449775520345
WP5120	0.01622474477980642
WP4971	0.01690002440253709
WP3853	0.020453220828632497
WP3584	0.04485582037886129
