node	score
OMIM:178500	0.000347314227568672
OMIM:125853	0.00031280922413426556
OMIM:215600	0.0002730134384573178
OMIM:613659	0.00023852501301039589
OMIM:104300	0.0002343237291905913
OMIM:211980	0.00023374333639800116
OMIM:168600	0.00019282926578458357
OMIM:601665	0.0001898579417179444
OMIM:601859	0.00018420657525837982
OMIM:608747	0.00014490022845444817
OMIM:171300	0.0001446689902218234
OMIM:203200	0.00014050412666528236
OMIM:619165	0.00013968425100640143
OMIM:274400	0.0001381005416303829
OMIM:265120	0.00013793836158404463
OMIM:261680	0.00013789078663341503
OMIM:613330	0.0001374857833941456
OMIM:604117	0.0001374596766236085
OMIM:275120	0.00013733707504588126
OMIM:610476	0.00013560634105440266
