multiplex	node	score
1	ADAMTS5	0.0006559372314567247
1	HOXB4	0.0006523350353335341
1	RBP2	0.0006475945798945712
1	MIA	0.0006467135660133454
1	BST1	0.0006466730344470918
1	DBX2	0.0006466153504769596
1	ACSL1	0.0006464962512950173
1	PCDH11X	0.0006464394011640779
1	DBX1	0.0006462673970674548
1	OLR1	0.0006462345392578057
1	GPRC5A	0.0006460515011784965
1	SLC9A2	0.0006460055764497933
1	DEFA1	0.0006459702345897795
1	MUC2	0.0006459379812581306
1	MUC5AC	0.0006392444306769924
1	IGF2	0.0006360937898562022
1	FGF4	0.0006319625875525343
1	CALCA	0.0006315806323083682
1	ACAN	0.0006315553646084626
1	CD38	0.0006310801931207441
1	B3GNT5	0.0006309392659357317
1	HSD17B1	0.00063093141876041
1	LPA	0.0006306812107102275
1	MT3	0.000630304000510361
1	APP	0.0006275780070110228
1	IGF1	0.0006264224692759252
1	CDX1	0.0006237357234657249
1	GPX2	0.0006231200718734124
1	PLAAT4	0.0006231106488556921
1	NR6A1	0.0006228528471388088
1	CHGA	0.0006226275456943793
1	SMYD5	0.0006225497779055997
1	FXYD3	0.0006217020735934621
1	TP53	0.0006206412848024376
1	FGFR2	0.0006205918127685763
1	VIPR1	0.0006202148598961489
1	CALB1	0.0006196721518698565
1	VIP	0.0006194593450232676
1	PTGS2	0.0006193903368460165
1	MUC4	0.0006189105351989626
1	CETP	0.0006188031743292102
1	PCP2	0.0006187587581739019
1	OPRK1	0.0006183392161450711
1	PTGS1	0.0006169187669103225
1	ITGAV	0.0006165136766481764
1	CRABP2	0.0006152460616196932
1	FUT4	0.0006150328605143943
1	AANAT	0.0006146420539059386
1	TLX2	0.0006145136735330372
1	KRT7	0.000614387749485611
1	CR1	0.0006139329152733369
1	KRT19	0.0006131937596213734
1	ALDH1A1	0.0006129638814208443
1	MUC5B	0.0006128157161913569
1	NES	0.0006127471644046687
1	SLC2A3	0.0006127222297239096
1	BHLHE40	0.0006125717446150665
1	LEFTY1	0.0006124707697482846
1	HOXA5	0.0006120996751734683
1	LAPTM5	0.0006119103274789572
1	ARHGAP5	0.0006118132502344283
1	CXCR5	0.0006116841759587032
1	PCK1	0.0006113645475519145
1	FOXA2	0.0006112372847666075
1	ALPI	0.0006109558265297649
1	MAP7	0.0006108526257382897
1	DCT	0.0006106675696241818
1	SAT1	0.0006106553411581753
1	EVX2	0.000610223030713329
1	LORICRIN	0.0006100398089108078
1	ZFP42	0.0006100266461591962
1	OPRD1	0.0006099881452704457
1	SFTPB	0.0006099042414009091
1	NKX3-2	0.0006099037329644286
1	NR2C2	0.0006096860385631568
1	CSN3	0.0006096792712058242
1	ASCL1	0.0006092480338741184
1	MBP	0.0006090497265784295
1	STRA8	0.0006089423762973043
1	CHGB	0.0006088931037575546
1	CD82	0.0006086123642696233
1	RTN1	0.0006083205034522635
1	ERRFI1	0.0006082928938617733
1	HOXD4	0.0006081290053286538
1	HOXC5	0.0006076343788424178
1	EGFR	0.0006068749964718879
1	FOSL1	0.000606859766739294
1	MMP11	0.0006066002566100455
1	SLC2A2	0.000605206918557044
1	TRMT2A	0.0006044667990614181
1	RAI2	0.000604248731944384
