d014801	Vitamin A	D014801	11103-57-4	CASP3	836	Homo sapiens	9606	16531423|17618090
d014801	Vitamin A	D014801	11103-57-4	CCND1	595	Homo sapiens	9606	17219422|17234770
d014801	Vitamin A	D014801	11103-57-4	CRABP2	1382	Homo sapiens	9606	16793012|17034753|17234770
d014801	Vitamin A	D014801	11103-57-4	CYP1B1	1545	Homo sapiens	9606	15258110|33814510
d014801	Vitamin A	D014801	11103-57-4	CYP26A1	1592	Homo sapiens	9606	16194896|17244623|22542753
d014801	Vitamin A	D014801	11103-57-4	RARA	5914	Homo sapiens	9606	17034753|17225872|17244623
d014801	Vitamin A	D014801	11103-57-4	RARB	5915	Homo sapiens	9606	15754000|17034753
d014801	Vitamin A	D014801	11103-57-4	RBP1	5947	Homo sapiens	9606	16150442|16793012
d014801	Vitamin A	D014801	11103-57-4	RBP4	5950	Homo sapiens	9606	16461020|16762690|18316031|21591606|22542753
d014801	Vitamin A	D014801	11103-57-4	RPE65	6121	Homo sapiens	9606	16150724|16828753
d014801	Vitamin A	D014801	11103-57-4	RXRA	6256	Homo sapiens	9606	17219422|17244623
d014801	Vitamin A	D014801	11103-57-4	SDR16C5	195814	Homo sapiens	9606	18926804|27793605
