source	target	link	AMI_number
TOB1	CDC7	ppi	1
TOB1	MARCKS	ppi	1
TOB1	CPEB4	ppi	1
ORC5	MCM7	ppi	1
ORC5	ORC1	ppi	1
ORC5	MCM2	ppi	1
ORC5	MCM5	ppi	1
ORC5	ORC4	ppi	1
ORC5	CDC45	ppi	1
ORC5	ORC6	ppi	1
ORC5	CDC6	ppi	1
ORC5	RPA2	ppi	1
ORC5	CDC7	ppi	1
ORC5	ORC2	ppi	1
ORC5	DBF4	ppi	1
ORC5	MCM3	ppi	1
ORC5	ORC3	ppi	1
ORC5	CDKN2A	ppi	1
ORC5	MCM4	ppi	1
ORC5	LAMB2	ppi	1
LBX1	RBL2	ppi	1
RBL1	CDK4	ppi	1
RBL1	MCM7	ppi	1
RBL1	CDK2	ppi	1
RBL1	MYBL2	ppi	1
RBL1	CCNA1	ppi	1
RBL1	CCNA2	ppi	1
RBL1	LAMB2	ppi	1
RBL1	E2F5	ppi	1
RBL1	BRF1	ppi	1
CDK4	CCND1	ppi	1
CDK4	CDKN1B	ppi	1
CDK4	MCM2	ppi	1
CDK4	CDC6	ppi	1
CDK4	CDC7	ppi	1
CDK4	RBL2	ppi	1
CDK4	CDKN2A	ppi	1
CDK4	H1F0	ppi	1
CDK4	UHRF2	ppi	1
CDK4	TSPYL2	ppi	1
CDK4	HIST1H1A	ppi	1
CDK4	MARCKS	ppi	1
CDK4	CAMK1	ppi	1
CDK4	ARID4A	ppi	1
CDK4	HIST1H1D	ppi	1
CDK4	FOXM1	ppi	1
CDK4	IL15RA	ppi	1
CCNA2	CDKN1B	ppi	1
CCNA2	RPA1	ppi	1
CCNA2	HIST1H1B	ppi	1
CCNA2	CDK2	ppi	1
CCNA2	CDC6	ppi	1
CCNA2	FEN1	ppi	1
CCNA2	RBL2	ppi	1
CCNA2	POLA1	ppi	1
CCNA2	SKP2	ppi	1
CCNA2	UHRF2	ppi	1
CCNA2	CDT1	ppi	1
CCNA2	HIST1H1A	ppi	1
CCNA2	HERC5	ppi	1
CCNA2	ARID4A	ppi	1
CCNA2	PRC1	ppi	1
CCNA2	USP37	ppi	1
PHLDA3	CDK2	ppi	1
CCP110	CDK1	ppi	1
CCP110	CDK2	ppi	1
CCP110	CCNF	ppi	1
CCNA1	MCM6	ppi	1
CCNA1	CKS1B	ppi	1
CCNA1	CDKN1B	ppi	1
CCNA1	CDK1	ppi	1
CCNA1	RPA1	ppi	1
CCNA1	HIST1H1B	ppi	1
CCNA1	CDK2	ppi	1
CCNA1	RBL2	ppi	1
CCNA1	MYBL2	ppi	1
CCNA1	MCM4	ppi	1
CCNA1	SKP2	ppi	1
CCNA1	HIST1H1A	ppi	1
CCNA1	CKS2	ppi	1
CCNA1	NPAT	ppi	1
CCNA1	KLHDC9	ppi	1
CCNA1	PROCA1	ppi	1
MCM3	MCM6	ppi	1
MCM3	MCM7	ppi	1
MCM3	MCM10	ppi	1
MCM3	MCM2	ppi	1
MCM3	MCM5	ppi	1
