SSPOP	ATXN7L1
SSPOP	TTC28
USP36	TRIM26
USP36	SOD2
CRB2	H4C16
CPA4	LXN
ZNF519	SP8
INSM2	ZSCAN1
TBX20	ZSCAN1
ZNF70	ZFP64
POLR2B	ZSCAN1
POLR2B	IKBKG
POLR2B	LZTR1
TIMELESS	ZSCAN1
FCMR	ANKRD2
FCMR	ZNHIT3
IRF6	ZBTB3
IRF6	RFX3
EMX1	ALX4
EMX1	PRDM4
EMX1	GTF2A1L
EMX1	TP63
EMX1	POLR2D
EMX1	HOXA10
ELF2	ZBTB32
DMRT1	TRIM29
HOXC13	RHOXF2
HOXC13	NR2E3
LAMC2	SLA2
AOX1	RCHY1
AOX1	GK
AOX1	CRKL
AOX1	RBL1
RAB15	RABIF
CLCA1	KCNMB1
APOBEC2	APOBEC1
SLC12A3	PDIA3
PLAT	F2
PAH	RPS24
PAH	PCBD1
PAH	QDPR
NLGN2	DLG2
NLGN2	DLG3
NLGN2	DLG4
HGH1	RPA1
HGH1	PTN
HGH1	MED31
HGH1	POLA2
HGH1	GTF3C1
HGH1	GPRASP1
HGH1	APOM
HGH1	TRIT1
HGH1	TMEM256
GAL3ST4	XRCC6
MARCKS	CALM1
EMP2	EPM2AIP1
MARCO	SCGB3A1
MARCO	SCGB3A2
ARHGEF25	RHOA
KCNG2	KCNB1
MECR	THRB
MECR	HNF4A
MECR	RXRA
MECR	RARA
EIF2AK3	NFE2L2
QRSL1	XRCC6
QRSL1	KRT8
WDR82	NAGK
FBXL16	MAPK6
MTG2	MAPK6
MTG2	TAB1
RIPOR1	MAP1LC3B
KCNE3	SLC44A1
KCNE3	RASSF1
KCNE3	QARS1
KCNE3	POLA2
KCNE3	KIF5A
KCNE3	GOLM1
KCNE3	GAPDH
KCNE3	EEF1A1
KCNE3	LRIF1
KCNE3	C11orf68
ACSBG1	GSK3B
EHF	FRZB
MAN1B1	DNM2
LRP5L	PLK1
LRP5L	CSNK2B
C6orf136	PLK1
C6orf136	CSNK2B
RUNDC3B	DYNC1I1
RUNDC3B	CSNK1G2
RUNDC3B	CSNK1G1
CADM4	DYNC1I1
CADM4	CSNK1E
CRAMP1	SEPTIN2
CRAMP1	CSNK1D
CRAMP1	CNTFR
ZNF235	MRPL44
ZNF235	FAM118B
MZT2B	SETDB1
CHGA	PFDN1
CHGA	NEK2
CHGA	CDC37
SLC44A1	NUDT21
SLC44A1	C11orf58
SMPD1	NR1H2
SMPD1	DUSP23
SMPD1	ANXA7
SMPD1	ANXA4
ZNF746	RPS6KA6
ZNF746	PRKRA
ZNF746	MAP3K7
ZNF746	GSK3B
ZNF746	FES
ZNF746	EPHA8
ZNF746	DIABLO
FOCAD	TUBB6
FOCAD	UBE2D3
TAF5L	ANXA7
TAF5L	TTR
TAF5L	TSC22D1
SERPINA4	RASA1
SERPINA4	NR4A1
SERPINA4	MAPK6
SERPINA4	MAP4K2
SERPINA4	TAB1
SERPINA4	ILK
SERPINA4	GADD45G
SERPINA4	YAE1
SERPINA4	TNNT1
SERPINA4	TNFRSF14
DCAF13	PTEN
DCAF13	WARS1
DCAF13	TK1
TTC38	PFDN1
TTC38	TK1
GPCPD1	TK1
FBN3	RPS6KA6
FBN3	RPN2
FBN3	PIK3R3
FBN3	NUDT21
FBN3	GSK3B
FBN3	GADD45A
FBN3	DAZAP2
FBN3	CDKN1A
FBN3	C11orf58
FBN3	BID
FBN3	ANXA7
FBN3	TSC22D1
FBN3	TK1
CLEC3B	GSK3B
CLEC3B	GADD45A
CLEC3B	TK1
METTL23	BCL2L1
METTL23	TK1
ITFG1	SERBP1
ITFG1	NUDT3
ITFG1	MRPL44
ITFG1	HMOX2
ITFG1	FAM118B
ITFG1	CDC73
ITFG1	TNFRSF14
ITFG1	TAF1D
NUBP1	SPRY2
CSTB	SPRY2
WDR73	DAZAP2
WDR73	CDKN1A
WDR73	ANXA7
WDR73	TSC22D1
WDR73	TNFRSF14
WDR73	TK1
WDR73	SMN2
SEMA5B	NUDT21
SEMA5B	MRPL44
SEMA5B	FAM118B
SEMA5B	C11orf58
SEMA5B	ANXA7
SEMA5B	TK1
SEMA5B	SPRY2
SEMA5B	SMN2
MRPL37	TK1
MRPL37	SMN2
HMGXB3	PFDN1
HMGXB3	CDKN1A
HMGXB3	CDK4
HMGXB3	ANXA7
HMGXB3	TK1
HMGXB3	SMN2
A1BG	SETD7
A1BG	PRDX4
A1BG	ABCC6
A1BG	GRB7
A1BG	CDKN1A
A1BG	TK1
A1BG	SMN2
ZNG1B	ECHS1
DUSP11	SRSF9
ZIC4	ZNF598
ZNF598	DBN1
DHX34	GSK3B
BCS1L	DDX24
MMS22L	RAD51
MMS22L	RPA1
NDUFB3	ATP5F1C
RNASE6	ARR3
EML4	ARIH2
EML4	ARL4D
APOBEC3G	PTN
SOBP	CTBP1
SOBP	CELF3
EDEM2	RPS3A
SIRT7	MAGED1
CTSK	FGFR3
CRIP1	GPRASP1
APOM	KLF6
CDH10	JUP
ORAI2	COPS6
MRPL20	CAPZB
MRPL20	CALM2
MRPL20	ACP1
MRPL20	TP53BP2
MRPL20	ITSN1
MRPL20	EPS8
MRPL20	USP13
LRRC1	DLG1
LRRC1	DLG4
PDE10A	WDR3
SEMA3F	UBA1
SEMA3F	SLC35G2
ACAP3	ITGB3BP
ACAP3	SLC35G2
TIMM17A	TUBA1A
FRMD5	NELFCD
MSANTD2	ERCC3
MSANTD2	STRN4
SRPRA	RUSC2
SIGIRR	ENO2
OVGP1	RASA4
RAB40C	TOE1
RAB40C	PSD
PGS1	GABARAP
IDUA	MPP3
B3GNTL1	MPP3
C6orf62	NDUFA4L2
ELAC2	RING1
ELAC2	ASCC2
ELAC2	NDUFA7
ELAC2	GOLM1
B3GNT4	GOLM1
NR6A1	NCOA1
NR6A1	GNB5
ENDOV	NELFCD
CA12	RDH11
CA12	MAPK6
CA12	DAXX
CA12	ATP5F1C
CA12	SGSM2
CA12	TOE1
CA12	MRPL9
CA12	KATNBL1
C15orf39	CTBP2
CTSE	EMG1
ANXA3	EMG1
LOXL3	APMAP
B4GALT3	SAT1
B4GALT3	ARL15
RCOR2	ARR3
PTPRO	SH3GL3
PTPRO	DPYSL4
PTPRO	DPPA4
PTPRO	ACTG1
RASGEF1C	TNK2
ITFG2	TNK2
ARSL	TNK2
SLC25A38	EMG1
SLC25A38	NOL12
SLC25A38	ZSCAN16
SPRR2D	PKN1
SPRR2D	MAPK6
SPRR2D	USP13
SEL1L3	TUBB4A
TSPAN6	LRIF1
SPRN	STRN4
GATD1	PRSS23
ABCB8	SAT1
SGSM2	RAB9B
SGSM2	RAB9A
SGSM2	RAB3B
SGSM2	RAB3A
SGSM2	RAB2B
SGSM2	RAB2A
SGSM2	EGFR
IGSF21	ETHE1
IGSF21	DGKD
IGSF21	NREP
IGSF21	TMSB4X
IGSF21	SULT1E1
IGSF21	SEPHS1
IGSF21	S100A8
IGSF21	PSMD11
IGSF21	PCDHA4
IGSF21	PAFAH1B3
IGSF21	PAEP
IGSF21	CRCT1
IGSF21	MAD2L1BP
IGSF21	HSPB1
IGSF21	PRMT1
IGSF21	GSTM4
IGSF21	ERH
IGSF21	BTBD2
IGSF21	BCR
IGSF21	ATF3
IGSF21	ANXA3
IGSF21	ALDH2
IGSF21	UBE2V2
IGSF21	SERPINB9
IGSF21	GIPC2
IGSF21	EPB41L3
IGSF21	RPP14
ACP5	EGR2
ACP5	MAPK9
ACP5	TNFSF10
RASGRP2	DISP3
SLC16A8	DNAJB9
SLC16A8	RAB1A
PAPSS1	PPP1R16A
FSD1	PPP1R16A
CDH24	PPP1R16A
METTL18	YAE1
METTL18	B3GALT4
METTL18	PHYHIP
FAM131A	PHYHIP
PHYHIP	SUPT5H
PHYHIP	SMARCC2
AK5	INTS15
AK5	RNF114
AK5	UGDH
AK5	TRIM46
AK5	STRN4
AK5	NUCKS1
SP110	ZSCAN9
SP110	NAP1L2
SP110	OSGEP
SP110	CDKN1A
SP110	TTR
SP110	SMN2
SP110	NDUFV2
EIF2B3	GOLM1
EIF2B3	NDUFB8
MRPS26	LMNA
HPS6	MARK4
HPS6	PUM3
HPS6	MNAT1
GRIK5	LRSAM1
GRIK5	GPAA1
GRIK5	GOLM1
GRIK5	MLF1
RFLNB	PPP1R16A
RFLNB	TNFRSF10C
FAM178B	ZNF598
FAM178B	LRSAM1
QTRT1	NDUFA4L2
ANXA9	ARHGEF10L
ANXA9	NDUFA4L2
L1CAM	RANBP9
L1CAM	NRP1
WIPI1	PPA1
WIPI1	KCTD15
SELENOT	HBB
WDR89	POLR3F
WDR89	PHYHIP
WDR89	MYZAP
HIGD1B	MYZAP
GOT2	GLRX
GOT2	GAPDH
TWNK	AKTIP
PSD	GMFG
PSD	HEXD
RILPL2	TUBB4A
RILPL2	HEXD
VOPP1	TFG
VOPP1	STMN2
VOPP1	SNAPIN
VOPP1	PFDN1
VOPP1	OFD1
VOPP1	HMOX2
VOPP1	LAMTOR5
VOPP1	GLYAT
VOPP1	C8orf33
VOPP1	MAP7D1
VOPP1	CRIP1
VOPP1	MTF2
VOPP1	PBK
VOPP1	SMPD3
BORA	FGFR3
LILRA3	EWSR1
DNAJB3	EWSR1
PI4KAP2	APPBP2
DERPC	EIF4EBP1
SPACA6	BANP
MT1DP	MEOX2
KRTAP4-7	CATSPER1
KRTAP4-7	NOTCH2NLA
KRTAP4-7	FAM76B
KRTAP4-7	SMCP
KRTAP4-7	HOXA1
KRTAP4-7	GLRX3
ANKRD36BP1	KRT20
