ZNF331	ZNF7
ZNF331	ZNF696
RSPH9	ZC3H4
DPCD	RUVBL2
NT5DC1	PKLR
FAM76B	KCNJ10
ADO	KCNJ10
ADO	FAM76B
RADX	UQCRQ
OSBPL9	UQCRQ
OSBPL9	RADX
OSBPL11	UQCRQ
OSBPL11	RADX
OSBPL11	OSBPL9
ENDOG	UQCRQ
ENDOG	RADX
ENDOG	OSBPL9
ENDOG	OSBPL11
DNAJA1	UQCRQ
DNAJA1	RADX
DNAJA1	OSBPL9
DNAJA1	OSBPL11
DNAJA1	ENDOG
AFF3	CCNT2
AFF3	CCNT1
AFF3	CDK9
KRT6A	KRT8
KRT17	KRT8
KRT17	KRT6A
KLK10	OR6C70
COPZ1	OGFOD1
COPG1	OGFOD1
COPG1	COPZ1
COPE	OGFOD1
COPE	COPZ1
COPE	COPG1
COPB1	OGFOD1
COPB1	COPZ1
COPB1	COPG1
COPB1	COPE
COPA	OGFOD1
COPA	COPZ1
COPA	COPG1
COPA	COPE
COPA	COPB1
ARCN1	OGFOD1
ARCN1	COPZ1
ARCN1	COPG1
ARCN1	COPE
ARCN1	COPB1
ARCN1	COPA
SWAP70	TLN1
TTC33	ZRSR2
TTC33	ZMAT5
GALNT12	HPX
BTNL8	OSBP2
BTNL8	LEPR
BTNL8	GLRB
MAB21L2	MIEF1
CPNE2	NAA11
IFNA1	IFNA5
IFNA1	IFNA4
IFNA1	IFNA17
CADPS	CLIP1
NIF3L1	ROBO1
NIF3L1	PFAS
BCS1L	TMEFF1
BCS1L	FGF2
BCS1L	DHRS2
FTO	IRGQ
DRG2	ZNF593
C8orf34	OGN
SLC1A3	TMEM45A
PDPK1	POLK
PDPK1	TMEM45A
PDPK1	SLC1A3
ZNF19	ZNF621
UBXN6	VCPKMT
POR	VCPKMT
POR	UBXN6
POR	UBXN2A
CEP170B	KIFC3
CEP170B	FRAT2
EIPR1	VPS54
EIPR1	VPS53
EIPR1	VPS52
EIPR1	VPS51
EIPR1	VPS50
C5orf22	SURF2
DNASE1L2	TLE4
DNASE1L2	TLE1
DNASE1L2	TBX20
IPP	MYO7A
IPP	TBC1D9
IPP	LANCL1
PJA2	SYNJ1
PJA2	SNX29
PJA2	REXO1
PJA2	REPS2
MAGED4B	SYNJ1
