Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014807	24,25-Dihydroxyvitamin D 3	D015650	40013-87-4	TGFB1	7040	Homo sapiens	9606	27936102
d014807	24,25-Dihydroxyvitamin D 3	D015650	40013-87-4	TIMP2	7077	Homo sapiens	9606	18379402
d014807	24,25-Dihydroxyvitamin D 3	D015650	40013-87-4	VDR	7421	Homo sapiens	9606	17997857
d014807	24,25-Dihydroxyvitamin D 3	D015650	40013-87-4	VEGFD	2277	Homo sapiens	9606	18379402
d014807	24a-homo-1,15-dihydroxyergocalciferol	C533599		CD14	929	Homo sapiens	9606	22751936
d014807	24a-homo-1,15-dihydroxyergocalciferol	C533599		CEBPB	1051	Homo sapiens	9606	22751936
d014807	24a-homo-1,15-dihydroxyergocalciferol	C533599		CYP24A1	1591	Homo sapiens	9606	22751936
d014807	24a-homo-1,15-dihydroxyergocalciferol	C533599		VDR	7421	Homo sapiens	9606	22751936
d014807	25-hydroxyvitamin D	C104450		CYP27B1	1594	Homo sapiens	9606	16362534|20363324
d014807	25-hydroxyvitamin D	C104450		CYP2R1	120227	Homo sapiens	9606	24587115
d014807	25-hydroxyvitamin D	C104450		GC	2638	Homo sapiens	9606	20363324|24587115
d014807	25-hydroxyvitamin D	C104450		IFNG	3458	Homo sapiens	9606	20211254
d014807	25-hydroxyvitamin D	C104450		IL4	3565	Homo sapiens	9606	20211254
d014807	25-hydroxyvitamin D	C104450		TRPV6	55503	Homo sapiens	9606	16362534
d014807	25-hydroxyvitamin D	C104450		VDR	7421	Homo sapiens	9606	20363324
d014807	(25S)-26-adamantyl-25-hydroxy-2-methylene-22,23-didehydro-19,27-dinor-20-epi-vitamin D3	C520041		CYP1A1	1543	Homo sapiens	9606	22837390
d014807	26,26,26,27,27,27-hexafluoro-1,25-dihydroxyvitamin D3	C040488	83805-11-2	ALPL	249	Homo sapiens	9606	12016462
d014807	26,26,26,27,27,27-hexafluoro-1,25-dihydroxyvitamin D3	C040488	83805-11-2	BGLAP	632	Homo sapiens	9606	12016462
d014807	26,26,26,27,27,27-hexafluoro-1,25-dihydroxyvitamin D3	C040488	83805-11-2	MED1	5469	Homo sapiens	9606	16059639
d014807	26,26,26,27,27,27-hexafluoro-1,25-dihydroxyvitamin D3	C040488	83805-11-2	NCOA2	10499	Homo sapiens	9606	16059639
d014807	26,26,26,27,27,27-hexafluoro-1,25-dihydroxyvitamin D3	C040488	83805-11-2	SPP1	6696	Homo sapiens	9606	12016462
d014807	26,26,26,27,27,27-hexafluoro-1,25-dihydroxyvitamin D3	C040488	83805-11-2	VDR	7421	Homo sapiens	9606	16059639
d014807	alfacalcidol	C008088	41294-56-8	ALB	213	Homo sapiens	9606	15044820
d014807	alfacalcidol	C008088	41294-56-8	CD14	929	Homo sapiens	9606	15946915
d014807	alfacalcidol	C008088	41294-56-8	CYP24A1	1591	Homo sapiens	9606	16824767
d014807	alfacalcidol	C008088	41294-56-8	CYP3A4	1576	Homo sapiens	9606	15005856
d014807	alfacalcidol	C008088	41294-56-8	MED1	5469	Homo sapiens	9606	20947021
d014807	alfacalcidol	C008088	41294-56-8	NCOA1	8648	Homo sapiens	9606	20947021
d014807	alfacalcidol	C008088	41294-56-8	RXRA	6256	Homo sapiens	9606	20947021
d014807	alfacalcidol	C008088	41294-56-8	TGFB1	7040	Homo sapiens	9606	10750555
d014807	alfacalcidol	C008088	41294-56-8	TLR2	7097	Homo sapiens	9606	15946915
d014807	alfacalcidol	C008088	41294-56-8	TNFRSF1B	7133	Homo sapiens	9606	15044820
d014807	alfacalcidol	C008088	41294-56-8	TSHB	7252	Homo sapiens	9606	9322804
d014807	alfacalcidol	C008088	41294-56-8	VDR	7421	Homo sapiens	9606	17997857|20947021
d014807	BXL628	C487049		CXCL8	3576	Homo sapiens	9606	19517319
d014807	BXL628	C487049		FGF7	2252	Homo sapiens	9606	16289173
d014807	BXL628	C487049		FGFR2	2263	Homo sapiens	9606	16289173
d014807	BXL628	C487049		VDR	7421	Homo sapiens	9606	15572423
d014807	Calcifediol	D002112	19356-17-3	AKT1	207	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	ALPL	249	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	BAX	581	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	BCL2	596	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	BNIP3	664	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	CCND1	595	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	CD247	919	Homo sapiens	9606	24792400
d014807	Calcifediol	D002112	19356-17-3	CD28	940	Homo sapiens	9606	24792400
d014807	Calcifediol	D002112	19356-17-3	CD3D	915	Homo sapiens	9606	24792400
d014807	Calcifediol	D002112	19356-17-3	CD3E	916	Homo sapiens	9606	24792400
d014807	Calcifediol	D002112	19356-17-3	CD3G	917	Homo sapiens	9606	24792400
d014807	Calcifediol	D002112	19356-17-3	CDKN1A	1026	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	CYP24A1	1591	Homo sapiens	9606	16289102|16524720|21542014|24792400
d014807	Calcifediol	D002112	19356-17-3	CYP27B1	1594	Homo sapiens	9606	16061850|21542014
d014807	Calcifediol	D002112	19356-17-3	DNM1L	10059	Homo sapiens	9606	34255241
